#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Dec 05 04:12:39 EST 2016,0,0,AssertingBridgeSceneDynamicTestCase, ,AssertingBridgeSceneDynamicTestCase+ , ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,
1,Mon Dec 05 04:12:49 EST 2016,0,0,AsyncAnimationSuite, ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase+ AsyncGalahadAnimationTestCase+ AsyncLancelotAnimationTestCase+ AsyncRobinAnimationTestCase+ , ,MoveCommandObjectTestCase SayCommandObjectTestCase ,
2,Mon Dec 05 04:12:55 EST 2016,0,0,CommandObjectSuite, ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase ,MoveCommandObjectTestCase+ SayCommandObjectTestCase+ , ,
3,Mon Dec 05 04:17:38 EST 2016,0,0,AssertingBridgeSceneDynamicTestCase, ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase ,MoveCommandObjectTestCase SayCommandObjectTestCase , ,
4,Mon Dec 05 04:17:46 EST 2016,14,14,AsyncAnimationSuite,AsyncLancelotAnimationTestCase+ ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncRobinAnimationTestCase ,MoveCommandObjectTestCase SayCommandObjectTestCase , ,
5,Mon Dec 05 04:17:53 EST 2016,42,28,CommandObjectSuite,AsyncLancelotAnimationTestCase MoveCommandObjectTestCase+ SayCommandObjectTestCase+ ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncRobinAnimationTestCase , , ,
6,Mon Dec 05 04:20:40 EST 2016,42,0,AssertingBridgeSceneDynamicTestCase,AsyncLancelotAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncRobinAnimationTestCase , , ,
7,Mon Dec 05 04:20:46 EST 2016,42,0,AsyncAnimationSuite,AsyncArthurAnimationTestCase+ MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase- AsyncRobinAnimationTestCase , , ,
8,Mon Dec 05 04:21:48 EST 2016,42,0,AssertingBridgeSceneDynamicTestCase,AsyncArthurAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , , ,
9,Mon Dec 05 04:21:53 EST 2016,85,43,AsyncAnimationSuite,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase+ AsyncLancelotAnimationTestCase+ AsyncRobinAnimationTestCase+ MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
10,Mon Dec 05 04:21:57 EST 2016,85,0,CommandObjectSuite,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
11,Mon Dec 05 04:31:02 EST 2016,85,0,AssertingBridgeSceneDynamicTestCase,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
12,Mon Dec 05 04:31:08 EST 2016,85,0,AsyncAnimationSuite,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
13,Mon Dec 05 04:31:11 EST 2016,85,0,CommandObjectSuite,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
14,Mon Dec 05 10:58:49 EST 2016,85,0,AssertingBridgeSceneDynamicTestCase,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase , , ,
