#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Oct 09 14:35:08 EDT 2016,0,0,BridgeSceneComponentScrollSuite, , ,BridgeSceneArthurScrollLeftArmTestCase- BridgeSceneArthurScrollRightLegTestCase- BridgeSceneGalahadScrollLeftArmTestCase- BridgeSceneLancelotScrollLeftArmTestCase- BridgeSceneRobinScrollLeftArmTestCase- ,BridgeSceneDynamicTestCase GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,
1,Sun Oct 09 14:35:12 EDT 2016,9,9,BridgeSceneDynamicTestCase,BridgeSceneDynamicTestCase+ , ,BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase ,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,
2,Sun Oct 09 14:35:16 EDT 2016,54,45,InitialBridgeSceneSuite,BridgeSceneDynamicTestCase GorgeReturnedTestCase+ GuardAreaReturnedTestCase+ KnightAreaReturnedTestCase+ KnightTurnReturnedTestCase+ OccupiedReturnedTestCase+ , ,BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase , ,
