#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 30 22:37:46 EDT 2016,22,22,AngleMoveSuite,AngleMoveLeftLineTestCase+ AngleMoveRightLineTestCase+ , , ,BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurMoveStringShapeTestCase BridgeSceneArthurScaleHeadTestCase BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase ,
1,Fri Sep 30 22:37:50 EDT 2016,44,22,BridgeSceneComponentScaleSuite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurScaleLeftArmTestCase+ BridgeSceneArthurScaleRightLegTestCase+ , ,BridgeSceneArthurScaleHeadTestCase+ ,BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurMoveStringShapeTestCase ,
2,Fri Sep 30 22:37:55 EDT 2016,77,33,BridgeSceneComponentMoveSuite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurMoveHeadTestCase+ BridgeSceneArthurMoveLeftArmTestCase+ BridgeSceneArthurMoveRightLegTestCase+ BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase , ,BridgeSceneArthurMoveStringShapeTestCase+ BridgeSceneArthurScaleHeadTestCase , ,
3,Fri Sep 30 22:45:28 EDT 2016,77,0,BridgeSceneComponentMoveSuite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase , ,BridgeSceneArthurMoveStringShapeTestCase BridgeSceneArthurScaleHeadTestCase , ,
4,Fri Sep 30 22:45:45 EDT 2016,77,0,BridgeSceneComponentScaleSuite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase , ,BridgeSceneArthurMoveStringShapeTestCase BridgeSceneArthurScaleHeadTestCase , ,
5,Fri Sep 30 22:45:47 EDT 2016,77,0,AngleMoveSuite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase , ,BridgeSceneArthurMoveStringShapeTestCase BridgeSceneArthurScaleHeadTestCase , ,
