#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 16 15:53:28 EDT 2016,8,8,MultipleNumberTokenOutputTest,MultipleNumberTokenOutputTest+ , , ,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleQuoteTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest ,
1,Fri Sep 16 15:53:31 EDT 2016,16,8,MultipleQuoteTokenOutputTest,MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest+ , , ,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest ,
2,Fri Sep 16 15:53:33 EDT 2016,25,9,MinusBeanTest,MinusBeanTest+ MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest , , ,EndBeanTest MultipleGroupingTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest ,
3,Fri Sep 16 15:53:35 EDT 2016,33,8,MultipleGroupingTokenOutputTest,MinusBeanTest MultipleGroupingTokenOutputTest+ MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest , , ,EndBeanTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest ,
4,Fri Sep 16 15:53:40 EDT 2016,41,8,QuoteBeanTest,MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest QuoteBeanTest+ , , ,EndBeanTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest PlusBeanTest StartBeanTest WordBeanTest ,
5,Fri Sep 16 15:53:42 EDT 2016,50,9,PlusBeanTest,MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest PlusBeanTest+ QuoteBeanTest , , ,EndBeanTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest StartBeanTest WordBeanTest ,
6,Fri Sep 16 15:53:45 EDT 2016,58,8,EndBeanTest,EndBeanTest+ MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest PlusBeanTest QuoteBeanTest , , ,MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest StartBeanTest WordBeanTest ,
7,Fri Sep 16 15:53:49 EDT 2016,66,8,StartBeanTest,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest PlusBeanTest QuoteBeanTest StartBeanTest+ , , ,MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest WordBeanTest ,
8,Fri Sep 16 15:53:52 EDT 2016,75,9,MultipleSignTokenOutputTest,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest MultipleSignTokenOutputTest+ PlusBeanTest QuoteBeanTest StartBeanTest , , ,MultipleWordTokenOutputTest NumberBeanTest WordBeanTest ,
9,Fri Sep 16 15:53:56 EDT 2016,83,8,MultipleWordTokenOutputTest,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest+ PlusBeanTest QuoteBeanTest StartBeanTest , , ,NumberBeanTest WordBeanTest ,
10,Fri Sep 16 15:53:59 EDT 2016,91,8,WordBeanTest,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest+ , , ,NumberBeanTest ,
11,Fri Sep 16 15:54:04 EDT 2016,100,9,NumberBeanTest,EndBeanTest MinusBeanTest MultipleGroupingTokenOutputTest MultipleNumberTokenOutputTest MultipleQuoteTokenOutputTest MultipleSignTokenOutputTest MultipleWordTokenOutputTest NumberBeanTest+ PlusBeanTest QuoteBeanTest StartBeanTest WordBeanTest , , , ,
