#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 23 18:53:02 EDT 2016,61,61,TokenArraySuite,ApproachArrayTest+ FailArrayTest+ NumberArrayTest+ PassArrayTest+ QuoteArrayTest+ RepeatArrayTest+ SayArrayTest+ WordArrayTest+ , , ,ApproachBeanTest FailBeanTest PassBeanTest RepeatBeanTest SayBeanTest ,
1,Fri Sep 23 18:53:10 EDT 2016,100,39,CommandSuite,ApproachArrayTest ApproachBeanTest+ FailArrayTest FailBeanTest+ NumberArrayTest PassArrayTest PassBeanTest+ QuoteArrayTest RepeatArrayTest RepeatBeanTest+ SayArrayTest SayBeanTest+ WordArrayTest , , , ,
