#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Dec 04 20:39:03 EST 2016,8,8,FactoryMethodSuiteA9,BridgeSceneControllerFactoryMethodTest+ ,NewPaintListenerTestCase+ ,InheritingBridgeScenePainterFactoryMethodTest- ,ArthurBridgeSceneControllerTestCase CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase ,
1,Sun Dec 04 20:39:34 EST 2016,33,25,ExtraCreditFactoryMethodSuiteA9,BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest+ ExistingPaintListenerTestCase+ ObservableBridgeScenePainterFactoryMethodTest+ ,NewPaintListenerTestCase ,CommandInterpreterControllerFactoryMethodTest+ CommandInterpreterViewFactoryMethodTest+ InheritingBridgeScenePainterFactoryMethodTest ,ArthurBridgeSceneControllerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase RobinBridgeSceneControllerTestCase ,
2,Sun Dec 04 20:39:48 EST 2016,66,33,BridgeSceneControllerSuite,ArthurBridgeSceneControllerTestCase+ BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase+ LancelotBridgeSceneControllerTestCase+ ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase+ ,NewPaintListenerTestCase ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest , ,
3,Sun Dec 04 21:02:29 EST 2016,75,9,ExtraCreditFactoryMethodSuiteA9,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase+ ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest , ,
4,Sun Dec 04 21:02:33 EST 2016,75,0,BridgeSceneControllerSuite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest , ,
5,Sun Dec 04 21:02:39 EST 2016,75,0,FactoryMethodSuiteA9,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest , ,
