45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.CommandInterpreterImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.NumberTokenImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.ScanStringImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.SingletonsCreator,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.Table,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.TableImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.TokenImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,grail.WordTokenImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,mp.AvatarImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,mp.BridgeSceneImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,illegalTypeImported,Assignment7,mp.StringShapeImpl,Assignment7
45,Thu Oct 20 17:05:47 EDT 2016,true,main\Assignment7.java,variableHasClassType,Assignment7,SingletonsCreator,aCreator
46,Thu Oct 20 17:11:40 EDT 2016,false,RedoCommand,typeDefined,RedoCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,WaitCommand,typeDefined,WaitCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,MinusToken,typeDefined,MinusToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ScanString,typeDefined,ScanString,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,BridgeSceneImpl,typeDefined,BridgeSceneImpl,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ProceedAllCommand,typeDefined,ProceedAllCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,Token,typeDefined,Token,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,UndoCommand,typeDefined,UndoCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,Assignment6,typeDefined,Assignment6,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,Assignment1,typeDefined,Assignment1,main.Assignment(.*)
46,Thu Oct 20 17:11:40 EDT 2016,false,WordTokenImpl,typeDefined,WordTokenImpl,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,WordTokenImpl,typeDefined,WordTokenImpl,@Word
46,Thu Oct 20 17:11:40 EDT 2016,false,SingletonsCreator,typeDefined,SingletonsCreator,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ScanStringImpl,typeDefined,ScanStringImpl,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,CallCommand,typeDefined,CallCommand,@Call//EC
46,Thu Oct 20 17:11:40 EDT 2016,false,CallCommand,typeDefined,CallCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,CommandInterpreter,typeDefined,CommandInterpreter,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,RotateLeftArmCommand,typeDefined,RotateLeftArmCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,PassCommand,typeDefined,PassCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,MoveCommand,typeDefined,MoveCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,SleepCommand,typeDefined,SleepCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,TableImpl,typeDefined,TableImpl,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,SayCommand,typeDefined,SayCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,QuotedStringToken,typeDefined,QuotedStringToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ThreadCommand,typeDefined,ThreadCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ApproachCommand,typeDefined,ApproachCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,ApproachCommand,typeDefined,ApproachCommand,@Approach
46,Thu Oct 20 17:11:40 EDT 2016,false,StartToken,typeDefined,StartToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,DefineCommand,typeDefined,DefineCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,NumberToken,typeDefined,NumberToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,PlusToken,typeDefined,PlusToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,RepeatCommand,typeDefined,RepeatCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,WordToken,typeDefined,WordToken,@Word
46,Thu Oct 20 17:11:40 EDT 2016,false,WordToken,typeDefined,WordToken,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,BridgeScene,typeDefined,BridgeScene,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,RotateRightArmCommand,typeDefined,RotateRightArmCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,Table,typeDefined,Table,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,FailCommand,typeDefined,FailCommand,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,NumberTokenImpl,typeDefined,NumberTokenImpl,No Expected Tag
46,Thu Oct 20 17:11:40 EDT 2016,false,NumberTokenImpl,typeDefined,NumberTokenImpl,@Number
46,Thu Oct 20 17:11:40 EDT 2016,false,EndToken,typeDefined,EndToken,@End
46,Thu Oct 20 17:11:40 EDT 2016,true,grail\Table.java,typeDefined,Table,No Expected Tag
51,Thu Oct 20 18:37:51 EDT 2016,true,grail\NumberToken.java,typeDefined,NumberToken,@Number
52,Thu Oct 20 18:38:13 EDT 2016,true,grail\WordToken.java,typeDefined,WordToken,@Word
53,Thu Oct 20 18:38:42 EDT 2016,true,grail\ScanString.java,typeDefined,ScanString,@ScannerBean
54,Thu Oct 20 18:39:14 EDT 2016,true,mp\Avatar.java,typeDefined,Avatar,@Avatar
55,Thu Oct 20 18:39:31 EDT 2016,true,mp\BoundedShape.java,typeDefined,BoundedShape,No Expected Tag
56,Thu Oct 20 18:39:53 EDT 2016,true,mp\BridgeScene.java,typeDefined,BridgeScene,@BridgeScene
57,Thu Oct 20 18:40:25 EDT 2016,true,mp\GorgeAndBridge.java,typeDefined,GorgeAndBridge,No Expected Tag
58,Thu Oct 20 18:41:27 EDT 2016,true,mp\Oval.java,typeDefined,Oval,No Expected Tag
59,Thu Oct 20 18:42:00 EDT 2016,true,grail\CommandInterpreter.java,typeDefined,CommandInterpreter,No Expected Tag
61,Thu Oct 20 18:53:51 EDT 2016,true,grail\TableImpl.java,typeDefined,TableImpl,No Expected Tag
62,Mon Oct 24 23:38:25 EDT 2016,true,grail\CommandInterpreter.java,typeDefined,CommandInterpreter,@CommandInterpreter
63,Mon Oct 24 23:41:18 EDT 2016,true,main\Assignment7.java,typeDefined,Assignment7,main.Assignment7
